Name,Party,Division,Date appointed,Appointed by,Region,End of Term
Campbell !Larry Campbell,Liberal,British Columbia,2005-08-02,Martin,BC,2023-02-28
Raine !Nancy Greene Raine,Conservative,Thompson-Okanagan-Kootenay,2009-01-02,Harper,BC,2018-05-11
Jaffer !Mobina Jaffer,Liberal,British Columbia,2001-06-13,Chr̩tien,BC,2024-08-20
Martin !Yonah Martin,Conservative,British Columbia,2009-01-02,Harper,BC,2040-04-11
Neufeld !Richard Neufeld,Conservative,British Columbia,2009-01-02,Harper,BC,2019-11-16
Jack Austin,Liberal,Vancouver South,1975-08-19,Trudeau,BC,2007-03-02
Barnard !George Henry Barnard,Progressive Conservative,Victoria,1917-10-23,Borden,BC,1945-11-08
Bell !Nancy Bell,Liberal,Nanaimo-Malaspina,1970-10-07,Trudeau,BC,1989-11-29
Bostock !Hewitt Bostock,Liberal,Kamloops,1904-06-06,Laurier,BC,1930-04-28
Carney !Patricia Carney,Conservative,British Columbia,1990-08-30,Mulroney,BC,2008-01-31
Carrall !Robert Carrall,Conservative,British Columbia,1871-12-13,Macdonald,BC,1879-09-19
Cornwall !Clement Francis Cornwall,Conservative,Ashcroft,1871-12-13,Macdonald,BC,1881-07-01
Crowe !Sanford Johnston Crowe,Liberal-Unionist,Burrard,1921-12-01,Meighen,BC,1931-08-23
Farris !John Wallace de Beque Farris,Liberal,Vancouver South,1937-01-09,King,BC,1970-02-25
Fitzpatrick !Ross Fitzpatrick,Liberal,Okanagan-Similkameen,1998-03-06,Chr̩tien,BC,2008-02-04
Green !Robert Francis Green,Conservative,Kootenay,1921-10-03,Meighen,BC,1946-10-05
Hodges !Nancy Hodges,Liberal,Victoria,1953-11-05,St. Laurent,BC,1965-06-12
King !James Horace King,Liberal,Kootenay East,1930-06-07,King,BC,1955-07-14
Laing !Arthur Laing,Liberal,Vancouver South,1972-09-01,Trudeau,BC,1975-02-12
Lawson !Edward M. Lawson,Independent,Vancouver,1970-10-07,Trudeau,BC,2004-09-24
Macdonald !William John Macdonald,Conservative,Victoria,1871-12-13,Macdonald,BC,1915-04-13
Mackenzie !Ian Alistair Mackenzie,Independent Liberal,Vancouver Centre,1948-01-19,King,BC,1949-09-02
MacKenzie !Norman MacKenzie,Independent Liberal,University-Point Grey,1966-02-24,Pearson,BC,1969-01-05
Marchand !Leonard Marchand,Liberal,Kamloops-Cariboo,1984-06-29,Trudeau,BC,1998-03-01
McDonald !Charles McDonald,Liberal,British Columbia,1935-12-30,King,BC,1936-10-06
McGeer !Gerry McGeer,Liberal,Vancouver-Burrard,1945-06-09,King,BC,1947-08-11
McInnes !Thomas Robert McInnes,Independent,Ashcroft,1881-12-24,Macdonald,BC,1897-11-18
McKeen !Stanley McKeen,Liberal,Vancouver,1947-01-27,King,BC,1966-12-01
McRae !Alexander Duncan McRae,Conservative,Vancouver,1931-09-04,Bennett,BC,1946-06-26
Nelson !Hugh Nelson,Liberal-Conservative,Barkerville,1879-12-12,Macdonald,BC,1887-03-01
Nichol !John Lang Nichol,Liberal,Lion's Gate,1966-02-24,Pearson,BC,1973-04-19
Perrault !Ray Perrault,Liberal,North Shore-Burnaby,1973-10-05,Trudeau,BC,2001-02-06
Planta !Albert Planta,Conservative,Nanaimo,1917-06-26,Borden,BC,1935-12-11
Reid James !James Reid,Liberal-Conservative,Cariboo,1888-10-08,Macdonald,BC,1904-05-03
Reid Thomas !Thomas Reid,Liberal,New Westminster,1949-09-07,St. Laurent,BC,1967-10-14
Riley !George Riley,Liberal,Victoria,1906-03-22,Laurier,BC,1916-01-19
Shatford !Lytton Shatford,Conservative,Vancouver,1917-06-26,Borden,BC,1920-11-08
Smith Sydney !Sydney John Smith,Liberal,Kamloops,1957-01-03,St. Laurent,BC,1968-12-31
St. !Gerry St. Germain,Conservative,Langley-Pemberton-Whistler,1993-06-23,Mulroney,BC,2012-11-06
Taylor !James Davis Taylor,Conservative,New Westminster,1917-10-23,Borden,BC,1941-05-11
Templeman !William Templeman,Liberal,New Westminster,1897-11-18,Laurier,BC,1906-02-16
Turgeon !James Gray Turgeon,Liberal,Cariboo,1947-01-27,King,BC,1964-02-14
Van Roggen !George Van Roggen,Liberal,Vancouver-Points Grey,1971-11-04,Trudeau,BC,1992-06-08
Williams Guy !Guy Williams,Liberal,Richmond,1971-12-09,Trudeau,BC,1982-10-07
Johnson Janis !Janis Johnson,Conservative,Winnipeg-Interlake,1990-09-27,Mulroney,BC,2021-04-27
Berntson !Eric Berntson,Progressive Conservative,Saskatchewan,1990-09-27,Mulroney,BC,2001-02-27
