Appointed by,Date appointed,Division,End of Term,Name,Party,Party ,Region
Harper,2012-01-06,Manitoba,2029-05-23,JoAnne Buth,Conservative,,MA
Chr̩tien,2002-12-12,Manitoba,2017-05-07,Maria Chaput,Liberal,,MA
Mulroney,1990-09-27,Winnipeg-Interlake Manitoba5,2021-04-27,Janis Johnson4,Conservative,,MA
Harper,2009-08-27,Landmark,2025-05-14,Don Plett,Conservative,,MA
King,1940-01-29,Provencher,1969-02-01,Arthur-Lucien Beaubien,,Liberal,MA
Borden,1917-09-03,St. Boniface,1938-01-08,Aim̩ B̩nard,,Conservative,MA
Abbott,1892-10-27,St. Boniface,1908-12-30,Thomas-Alfred Bernier,,Conservative,MA
MacDonald,1889-12-10,Marquette,1899-05-15,Charles Arkoll Boulton,,Liberal-Conservative,MA
Borden,1917-12-17,Selkirk,1925-09-06,George Bradbury,,Conservative,MA
Chr̩tien,1994-09-15,Manitoba,2011-10-17,Sharon Carstairs,,Liberal,MA
Laurier,1909-01-18,Winnipeg,1911-10-09,No̩ Chevrier,,Liberal,MA
King,1945-04-18,Churchill,1966-05-31,Thomas Crerar,,Liberal,MA
St. Laurent,1949-01-25,Winnipeg,1953-10-25,John Caswell Davis,,Liberal,MA
Chr̩tien,2002-01-15,Manitoba,2002-09-30,Ron Duhamel,,Liberal,MA
Pearson,1966-11-08,Fort Rouge,1994-01-20,Douglas Everett,,Independent Liberal,MA
King,1929-12-30,Brandon,1934-02-02,Robert Forke,,Liberal-Progressive,MA
MacDonald,1871-12-13,St. Boniface,1892-09-12,Marc-Amable Girard,,Liberal,MA
Trudeau,1978-03-23,St. Boniface,1990-10-04,Joseph-Philippe Guay,,Liberal,MA
Diefenbaker,1962-06-15,River Heights,1977-12-29,James Campbell Haig,,Progressive Conservative,MA
Richard Bennett,1935-08-14,Winnipeg,1962-01-17,John Thomas Haig,,Progressive Conservative,MA
King,1945-04-18,St. Boniface,1959-11-04,John Power Howden,,Liberal,MA
Diefenbaker,1960-01-14,Lisgar,1969-11-01,Olive Lillian Irvine,,Progressive Conservative,MA
Mulroney,1993-05-26,Manitoba,1998-06-05,Duncan Jessiman,,Progressive Conservative,MA
Thompson,1892-12-16,Selkirk,1914-12-22,John Nesbitt Kirchhoffer,,Conservative,MA
Chr̩tien,1998-06-11,Manitoba,2004-09-24,Richard Kroft,,Liberal,MA
Borden,1911-10-23,Provencher,1917-09-01,Alphonse Larivi̬re,,Conservative,MA
Borden,1917-07-26,Winnipeg,1941-09-13,Lendrum McMeans,,Conservative,MA
Trudeau,1970-10-07,Winnipeg,1979-08-08,William Craig McNamara,,Liberal,MA
Trudeau,1970-10-07,St. Rose,2001-02-28,Gildas Molgat,,Liberal,MA
King,1925-10-06,Provencher,1948-03-16,John Patrick Molloy,,Liberal,MA
Bennett,1935-08-14,Marquette,1950-09-05,Henry Mullins,,Conservative,MA
Clark,1979-10-03,Winnipeg North,1993-02-09,Nathan Nurgitz,,Progressive Conservative,MA
Trudeau,1978-03-23,Red River,1992-06-17,Dufferin Roblin,,Progressive Conservative,MA
Borden,1917-10-23,Souris,1935-05-22,Frederick Laurence Schaffner,,Conservative,MA
MacDonald,1882-09-23,Manitoba,1888-07-01,John Christian Schultz,,Liberal-Conservative,MA
Borden,1916-02-10,Manitou,1942-04-19,William Sharpe,,Conservative,MA
Mulroney,1986-11-17,Manitoba,2009-07-12,Mira Spivak,,Independent,MA
Mulroney,1993-03-25,Red River,2013-03-16,Terry Stratton,,Conservative,MA
MacDonald,1871-12-13,Kildonan,1899-04-13,John Sutherland,,Independent Conservative,MA
Diefenbaker,1958-01-29,Winnipeg South,1969-08-02,Gunnar Thorvaldson,,Progressive Conservative,MA
St. Laurent,1955-07-28,Winnipeg,1962-07-07,William Michael Wall,,Liberal,MA
Laurier,1900-01-29,Portage la Prairie,1929-05-19,Robert Watson,,Liberal,MA
Laurier,1900-01-30,Killarney,1916-02-15,Finlay McNaughton Young,,Liberal,MA
Diefenbaker,1963-02-04,Fort Garry,1986-07-09,Paul Yuzyk,,Progressive Conservative,MA
Martin,2005-08-02,Winnipeg,2013-08-06,Rod Zimmer,,Liberal,MA
Mulroney,1990-09-27,Winnipeg-Interlake,2021-04-27,Janis Johnson,Conservative,,MA
Mulroney,1990-09-27,Saskatchewan,2001-02-27,Eric Berntson,Progressive Conservative,,MA
