Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Mulroney,1993-03-11,Saskatchewan,2019-08-14,Raynell Andreychuk,Conservative,SK
Harper,2013-01-25,Saskatchewan,2045-06-18,Denise Batters,Conservative,SK
Martin,2005-03-24,Saskatchewan,2020-08-08,Lillian Dyck,Liberal3,SK
Chr̩tien,2002-12-12,Saskatchewan,2018-04-04,Pana Merchant,Liberal,SK
Mulroney,1993-06-08,Saskatchewan,2020-02-18,David Tkachuk,Conservative,SK
Harper,2009-01-02,Saskatchewan,2028-04-10,Pamela Wallin,Independent,SK
Pearson,1966-02-24,Regina,2002-10-02,Hazen Argue,Liberal,SK
Bennett,1933-12-30,Rosetown,1971-03-31,Walter Aseltine,Progressive Conservative,SK
Clark,1979-09-13,Regina,1999-12-12,James Balfour,Progressive Conservative,SK
Mulroney,1984-12-21,Regina-Qu'Appelle,1993-05-25,Staff Barootes,Progressive Conservative,SK
Mulroney,1990-09-27,Saskatchewan,2001-02-27,Eric Berntson3,Progressive Conservative,SK
St. Laurent,1957-01-03,Prince Albert,1976-06-23,William Albert Boucher,Liberal,SK
Trudeau,1971-11-04,Saskatoon,1991-11-03,Sidney Buckwold,Liberal,SK
Meighen,1921-09-22,Moose Jaw,1956-07-20,James Calder,Conservative,SK
Laurier,1904-09-30,Prince Albert4,1917-01-23,Thomas Davis,Liberal,SK
Laurier,1906-03-08,Tantallon,1920-08-19,James Moffat Douglas,Independent Liberal,SK
Meighen,1921-10-17,Saskatchewan,1940-01-18,Archibald Beaton Gillis,Conservative,SK
Mulroney,1993-05-26,Saskatchewan,2008-11-10,Leonard Gustafson,Conservative,SK
Diefenbaker,1959-01-15,Saskatoon,1967-05-02,John Hnatyshyn,Progressive Conservative,SK
Bennett,1933-12-30,Saskatchewan North,1964-12-14,Ralph Horner,Progressive Conservative,SK
King,1943-10-05,Central Saskatchewan,1948-05-09,John Frederick Johnston,Liberal,SK
Borden,1917-01-31,Regina,1940-09-30,Henry Laird,Conservative,SK
Bennett,1931-07-06,Ponteix,1958-08-18,Arthur Marcotte,Conservative,SK
Pearson,1965-08-13,Moosimin,1980-03-31,Alexander Hamilton McDonald,Liberal,SK
Diefenbaker,1957-10-12,Lumsden,1971-03-31,Arthur Maurice Pearson,Progressive Conservative,SK
Macdonald,1888-08-03,Wolseley4,1909-07-15,William Dell Perley,Conservative,SK
Martin,2005-03-24,Saskatchewan,2012-10-19,Robert Peterson,Liberal,SK
Laurier,1909-07-29,Saskatchewan,1920-10-26,Joseph Benjamin Prince,Liberal,SK
Laurier,1904-09-30,Regina4,1932-12-14,James Hamilton Ross,Liberal,SK
Pearson,1968-02-09,Saskatchewan,2005-01-04,Herbert O. Sparrow,Liberal,SK
Trudeau,1976-12-09,Prince Albert-Duck Lake,1991-01-26,David Steuart,Liberal,SK
King,1940-01-29,Prince Albert,1956-09-21,John Stevenson,Liberal,SK
Borden,1918-09-23,Assiniboia,1930-11-10,John Gillanders Turriff,Liberal,SK
Chr̩tien,2000-04-07,Saskatchewan,2004-01-31,Jack Wiebe,Liberal,SK
Borden,1917-10-23,Moose Jaw,1932-08-01,Wellington Willoughby,Conservative,SK
St. Laurent,1949-01-25,Regina,1965-11-26,Thomas Harold Wood,Liberal,SK
